attribute,precision,recall,F1
人口,0.768361581920904,0.9645390070921985,0.8553459119496855
人口データの年,0.7592592592592593,0.9879518072289156,0.8586387434554973
人口密度,0.8404255319148937,0.9518072289156626,0.8926553672316384
別名,0.776255707762557,0.625,0.6924643584521385
友好市区町村,0.7396226415094339,0.593939393939394,0.6588235294117647
合併市区町村,0.3380281690140845,0.2926829268292683,0.31372549019607837
国,0.6338672768878718,0.6959798994974874,0.6634730538922154
国内位置,0.3333333333333333,0.6666666666666666,0.4444444444444444
地名の謂れ,0.045454545454545456,0.08571428571428572,0.05940594059405941
地形,0.7142857142857143,0.7589658048373644,0.7359482410028306
座標・経度,0.8807588075880759,0.9078212290502793,0.8940852819807428
座標・緯度,0.904891304347826,0.8927613941018767,0.8987854251012146
恒例行事,0.7149321266968326,0.825065274151436,0.7660606060606061
成立年,0.23958333333333334,0.5,0.323943661971831
所在地,0.5483870967741935,0.6409836065573771,0.5910808767951625
旧称,0.0967741935483871,0.0759493670886076,0.08510638297872342
温泉・鉱泉,0.7204301075268817,0.8589743589743589,0.7836257309941521
特産品,0.6730038022813688,0.7515923566878981,0.7101303911735206
産業,0.5172413793103449,0.4940119760479042,0.5053598774885145
種類,0.8571428571428571,0.7105263157894737,0.776978417266187
観光地,0.49686192468619245,0.528071150639244,0.511991376987335
読み,0.865979381443299,0.7706422018348624,0.8155339805825242
鉄道会社,0.5138248847926268,0.7992831541218638,0.6255259467040675
面積,0.7076923076923077,0.9108910891089109,0.7965367965367967
首長,0.6145833333333334,0.7283950617283951,0.6666666666666667
macro_ave,0.6120392240736183,0.6807286222641494,0.637053459996736
micro_ave,0.6142762136998449,0.6584293691338957,0.6355869029187454
