attribute,precision,recall,F1
コーポレートスローガン,0.3793103448275862,0.5238095238095238,0.44
主要株主,0.5583424209378408,0.7441860465116279,0.638006230529595
事業内容,0.48872180451127817,0.5834829443447038,0.5319148936170213
代表者,0.7969924812030075,0.8412698412698413,0.8185328185328186
別名,0.41620111731843573,0.1844059405940594,0.25557461406518006
創業国,0,0,0
創業地,0.47058823529411764,0.3333333333333333,0.39024390243902435
創業時の事業,0.36363636363636365,0.32,0.3404255319148936
創業者,0.6382978723404256,0.75,0.6896551724137931
取扱商品,0.37640449438202245,0.46689895470383275,0.4167962674961119
商品名,0.5679785330948122,0.5692514567458539,0.5686142825162303
売上高データの年,0.8292682926829268,0.8947368421052632,0.860759493670886
売上高（単体）,0.9130434782608695,1.0,0.9545454545454545
売上高（連結）,0.8947368421052632,0.8947368421052632,0.8947368421052632
売上高（連結）データの年,0.7727272727272727,0.9444444444444444,0.85
子会社・合弁会社,0.6458015267175573,0.5347661188369153,0.5850622406639004
従業員数（単体）,0.835820895522388,0.9333333333333333,0.8818897637795275
従業員数（単体）データの年,0.8636363636363636,1.0,0.9268292682926829
従業員数（連結）,0.8125,0.7647058823529411,0.787878787878788
従業員数（連結）データの年,0.9375,1.0,0.967741935483871
本拠地,0.7172995780590717,0.7727272727272727,0.7439824945295406
本拠地国,0.803030303030303,0.9217391304347826,0.8582995951417004
業界,0.9354838709677419,0.8969072164948454,0.9157894736842105
業界内地位・規模,0.2,0.21212121212121213,0.2058823529411765
正式名称,0.7191358024691358,0.6873156342182891,0.702865761689291
社名使用開始年,0.37714285714285717,0.559322033898305,0.4505119453924915
種類,0.93,0.96875,0.9489795918367346
設立年,0.6791666666666667,0.8402061855670103,0.751152073732719
読み,0.8833333333333333,0.7571428571428571,0.8153846153846154
買収・合併した会社,0.5113636363636364,0.4147465437788018,0.4580152671755725
資本金,0.9010989010989011,0.9318181818181818,0.9162011173184357
資本金データの年,0.918918918918919,0.918918918918919,0.918918918918919
起源,0.3333333333333333,0.2962962962962963,0.3137254901960785
過去の社名,0.42483660130718953,0.38235294117647056,0.40247678018575844
macro_ave,0.6439897688791064,0.6718742920318878,0.6529821464138907
micro_ave,0.5705159112825458,0.5741145075206211,0.5723095525997581
