attribute,precision,recall,F1
両親,0.5851851851851851,0.7117117117117117,0.6422764227642276
作品,0.737947050627032,0.8447469162058698,0.7877435668600328
別名,0.6424050632911392,0.5734463276836158,0.6059701492537314
参加イベント,0.3161764705882353,0.41247002398081534,0.3579604578563995
受賞歴,0.5265866209262435,0.6504237288135594,0.5819905213270141
国籍,0.7567567567567568,0.9333333333333333,0.835820895522388
地位職業,0.6542857142857142,0.7104446742502585,0.6812097174020822
学歴,0.7799043062200957,0.8402061855670103,0.8089330024813894
家族,0.5435540069686411,0.5333333333333333,0.5383951682484901
居住地,0.5846867749419954,0.6866485013623979,0.631578947368421
師匠,0.5189873417721519,0.5857142857142857,0.5503355704697986
所属組織,0.631083202511774,0.6650124069478908,0.6476037051953282
時代,0.8947368421052632,0.8947368421052632,0.8947368421052632
本名,0.7008547008547008,0.5857142857142857,0.6381322957198444
死因,0.18604651162790697,0.5,0.2711864406779661
没地,0.38095238095238093,0.5,0.4324324324324324
没年月日,0.6266666666666667,0.8703703703703703,0.7286821705426356
生年月日,0.8315217391304348,0.827027027027027,0.8292682926829268
生誕地,0.5648854961832062,0.7047619047619048,0.6271186440677967
異表記,0.6904761904761905,0.6904761904761905,0.6904761904761905
読み,0.8166666666666667,0.8672566371681416,0.8412017167381974
macro_ave,0.6176364613684944,0.6946587945965363,0.6487168166758359
micro_ave,0.7069855346369122,0.8013512400098871,0.7512164980304318
