attribute,precision,recall,F1
人口,0.7010309278350515,0.9645390070921985,0.8119402985074626
人口データの年,0.5655172413793104,0.9879518072289156,0.719298245614035
人口密度,0.8494623655913979,0.9518072289156626,0.8977272727272727
別名,0.6973180076628352,0.6691176470588235,0.6829268292682927
友好市区町村,0.6731843575418994,0.7303030303030303,0.7005813953488373
合併市区町村,0.35036496350364965,0.3344947735191638,0.34224598930481287
国,0.5983263598326359,0.7185929648241206,0.6529680365296804
国内位置,0.42857142857142855,1.0,0.6
地名の謂れ,0.06896551724137931,0.11428571428571428,0.08602150537634408
地形,0.7191011235955056,0.7472894078398665,0.7329243353783231
座標・経度,0.8804347826086957,0.9050279329608939,0.8925619834710744
座標・緯度,0.9116022099447514,0.8847184986595175,0.8979591836734695
恒例行事,0.703016241299304,0.7911227154046997,0.7444717444717446
成立年,0.2804878048780488,0.5,0.359375
所在地,0.5341935483870968,0.6786885245901639,0.5978339350180505
旧称,0.125,0.08860759493670886,0.1037037037037037
温泉・鉱泉,0.7058823529411765,0.7692307692307693,0.736196319018405
特産品,0.6806083650190115,0.7600849256900213,0.7181544633901705
産業,0.5058139534883721,0.5209580838323353,0.5132743362831859
種類,0.8074074074074075,0.7171052631578947,0.759581881533101
観光地,0.48003629764065336,0.5881045025013897,0.5286035473394954
読み,0.6991869918699187,0.7889908256880734,0.7413793103448276
鉄道会社,0.5374149659863946,0.8494623655913979,0.6583333333333334
面積,0.6413793103448275,0.9207920792079208,0.7560975609756097
首長,0.4957983193277311,0.7283950617283951,0.59
macro_ave,0.5856041937559394,0.708386828969907,0.6329664084244492
micro_ave,0.59579971032485,0.6842105263157895,0.6369518332135156
