attribute,precision,recall,F1
コーポレートスローガン,0.3333333333333333,0.3333333333333333,0.3333333333333333
主要株主,0.5508021390374331,0.748546511627907,0.6346272335181762
事業内容,0.49614791987673346,0.578096947935368,0.5339966832504146
代表者,0.8333333333333334,0.873015873015873,0.8527131782945736
別名,0.3956262425447316,0.24628712871287128,0.30358504958047294
創業国,0,0,0
創業地,0.45454545454545453,0.4166666666666667,0.43478260869565216
創業時の事業,0.22580645161290322,0.28,0.25
創業者,0.6458333333333334,0.775,0.7045454545454546
取扱商品,0.3830935251798561,0.49477351916376305,0.4318297009630005
商品名,0.6741250717154331,0.52666965486329,0.591343734272773
売上高データの年,0.7777777777777778,0.9210526315789473,0.8433734939759038
売上高（単体）,0.875,1.0,0.9333333333333333
売上高（連結）,0.782608695652174,0.9473684210526315,0.8571428571428571
売上高（連結）データの年,0.7083333333333334,0.9444444444444444,0.8095238095238096
子会社・合弁会社,0.6972972972972973,0.4892541087231353,0.5750371471025261
従業員数（単体）,0.7733333333333333,0.9666666666666667,0.8592592592592593
従業員数（単体）データの年,0.8260869565217391,1.0,0.9047619047619047
従業員数（連結）,0.8125,0.7647058823529411,0.787878787878788
従業員数（連結）データの年,0.8333333333333334,1.0,0.9090909090909091
本拠地,0.7007874015748031,0.8090909090909091,0.751054852320675
本拠地国,0.8582677165354331,0.9478260869565217,0.9008264462809917
業界,0.925531914893617,0.8969072164948454,0.9109947643979057
業界内地位・規模,0.2558139534883721,0.3333333333333333,0.2894736842105263
正式名称,0.6903409090909091,0.7168141592920354,0.7033285094066569
社名使用開始年,0.3277310924369748,0.6610169491525424,0.43820224719101125
種類,0.9387755102040817,0.9583333333333334,0.9484536082474228
設立年,0.6653061224489796,0.8402061855670103,0.7425968109339407
読み,0.8983050847457628,0.7571428571428571,0.8217054263565892
買収・合併した会社,0.6124031007751938,0.3640552995391705,0.45664739884393063
資本金,0.7864077669902912,0.9204545454545454,0.8481675392670156
資本金データの年,0.85,0.918918918918919,0.8831168831168831
起源,0.391304347826087,0.3333333333333333,0.36
過去の社名,0.5909090909090909,0.5352941176470588,0.5617283950617284
macro_ave,0.6344353395200331,0.6852532069233603,0.6519545601223063
micro_ave,0.5912554653341662,0.5741145075206211,0.5825589267031818
