attribute,precision,recall,F1
両親,0.6548672566371682,0.6666666666666666,0.6607142857142857
作品,0.747958390044721,0.8181093151850276,0.7814626714068055
別名,0.6421404682274248,0.5423728813559322,0.5880551301684533
参加イベント,0.3139745916515426,0.4148681055155875,0.3574380165289256
受賞歴,0.5391621129326047,0.6271186440677966,0.5798237022526933
国籍,0.8285714285714286,0.9666666666666667,0.8923076923076922
地位職業,0.7040923399790137,0.6938986556359876,0.6989583333333335
学歴,0.7554585152838428,0.8917525773195877,0.817966903073286
家族,0.5418181818181819,0.5094017094017094,0.5251101321585903
居住地,0.5497630331753555,0.6321525885558583,0.58808618504436
師匠,0.5205479452054794,0.5428571428571428,0.5314685314685315
所属組織,0.6395443449959316,0.6501240694789082,0.6447908121410992
時代,0.8947368421052632,0.8947368421052632,0.8947368421052632
本名,0.6666666666666666,0.5571428571428572,0.6070038910505836
死因,0.2127659574468085,0.625,0.31746031746031744
没地,0.52,0.8125,0.6341463414634146
没年月日,0.5875,0.8703703703703703,0.7014925373134329
生年月日,0.8465346534653465,0.9243243243243243,0.883720930232558
生誕地,0.6379310344827587,0.7047619047619048,0.6696832579185522
異表記,0.6,0.6428571428571429,0.6206896551724138
読み,0.8524590163934426,0.9203539823008849,0.8851063829787233
macro_ave,0.6312615609087133,0.709906497455696,0.660962978633015
micro_ave,0.7169424624259906,0.7781988959380407,0.7463158310615938
