attribute,precision,recall,F1
コーポレートスローガン,0.375,0.5714285714285714,0.4528301886792453
主要株主,0.5493562231759657,0.7441860465116279,0.6320987654320988
事業内容,0.461212976022567,0.5870736086175943,0.5165876777251185
代表者,0.5652173913043478,0.8253968253968254,0.6709677419354838
別名,0.4297082228116711,0.2004950495049505,0.27341772151898736
創業国,0,0,0
創業地,0.45454545454545453,0.4166666666666667,0.43478260869565216
創業時の事業,0.2,0.24,0.2181818181818182
創業者,0.10326086956521739,0.475,0.16964285714285715
取扱商品,0.3926940639269406,0.4994192799070848,0.4396728016359918
商品名,0.5731760594145915,0.5880770954728821,0.5805309734513274
売上高データの年,0.8571428571428571,0.9473684210526315,0.9
売上高（単体）,0.9333333333333333,1.0,0.9655172413793104
売上高（連結）,0.8571428571428571,0.9473684210526315,0.9
売上高（連結）データの年,0.7083333333333334,0.9444444444444444,0.8095238095238096
子会社・合弁会社,0.6447552447552447,0.5828065739570164,0.6122177954847277
従業員数（単体）,0.8088235294117647,0.9166666666666666,0.859375
従業員数（単体）データの年,0.8636363636363636,1.0,0.9268292682926829
従業員数（連結）,0.8125,0.7647058823529411,0.787878787878788
従業員数（連結）データの年,0.9375,1.0,0.967741935483871
本拠地,0.6846153846153846,0.8090909090909091,0.7416666666666667
本拠地国,0.75,0.9391304347826087,0.8339768339768341
業界,0.8285714285714286,0.8969072164948454,0.8613861386138614
業界内地位・規模,0.21951219512195122,0.2727272727272727,0.24324324324324323
正式名称,0.7308868501529052,0.7050147492625368,0.7177177177177178
社名使用開始年,0.38461538461538464,0.5932203389830508,0.46666666666666673
種類,0.9375,0.9375,0.9375
設立年,0.6245059288537549,0.8144329896907216,0.7069351230425056
読み,0.9298245614035088,0.7571428571428571,0.8346456692913385
買収・合併した会社,0.5489130434782609,0.46543778801843316,0.5037406483790523
資本金,0.8526315789473684,0.9204545454545454,0.8852459016393441
資本金データの年,0.85,0.918918918918919,0.8831168831168831
起源,0.35294117647058826,0.2222222222222222,0.27272727272727276
過去の社名,0.44785276073619634,0.4294117647058823,0.43843843843843844
macro_ave,0.6079326197790953,0.6744916341331573,0.630729535175341
micro_ave,0.5535248041775457,0.591460456089277,0.5718641881193924
