attribute,precision,recall,F1
両親,0,0,0
作品,0.732006854531607,0.8176307954062101,0.7724532851115129
別名,0.5722070844686649,0.5932203389830508,0.5825242718446602
参加イベント,0.31589147286821706,0.3908872901678657,0.3494105037513398
受賞歴,0.5489833641404805,0.6292372881355932,0.5863770977295163
国籍,0.8529411764705882,0.9666666666666667,0.90625
地位職業,0.7091295116772823,0.6907962771458118,0.6998428496595076
学歴,0.7990196078431373,0.8402061855670103,0.8190954773869348
家族,0,0,0
居住地,0.592326139088729,0.6730245231607629,0.6301020408163265
師匠,0,0,0
所属組織,0.6285266457680251,0.663358147229115,0.6454728370221329
時代,0.7727272727272727,0.8947368421052632,0.8292682926829269
本名,0.6953125,0.6357142857142857,0.6641791044776119
死因,0.2727272727272727,0.5625,0.36734693877551017
没地,0.4375,0.4375,0.4375
没年月日,0.5915492957746479,0.7777777777777778,0.6719999999999999
生年月日,0.8186274509803921,0.9027027027027027,0.8586118251928021
生誕地,0.5573770491803278,0.6476190476190476,0.5991189427312774
異表記,0.5423728813559322,0.7619047619047619,0.6336633663366337
読み,0.7923076923076923,0.911504424778761,0.8477366255144032
macro_ave,0.5348349177100128,0.6093803502411754,0.5667120694777665
micro_ave,0.7086574943471429,0.761761555573865,0.7342506005916571
