attribute,precision,recall,F1
コーポレートスローガン,0.43478260869565216,0.47619047619047616,0.4545454545454545
主要株主,0.5252960172228203,0.7093023255813954,0.603586889301175
事業内容,0.4767080745341615,0.5511669658886894,0.511240632805995
代表者,0.7984496124031008,0.8174603174603174,0.807843137254902
別名,0.46184738955823296,0.14232673267326731,0.21759697256385996
創業国,0,0,0
創業地,0.45454545454545453,0.4166666666666667,0.43478260869565216
創業時の事業,0.4090909090909091,0.36,0.3829787234042554
創業者,0.66,0.825,0.7333333333333334
取扱商品,0,0,0
商品名,0.6135593220338983,0.5679067682653519,0.5898510242085662
売上高データの年,0.8717948717948718,0.8947368421052632,0.8831168831168831
売上高（単体）,0.9090909090909091,0.9523809523809523,0.9302325581395349
売上高（連結）,0.8947368421052632,0.8947368421052632,0.8947368421052632
売上高（連結）データの年,0.7619047619047619,0.8888888888888888,0.8205128205128205
子会社・合弁会社,0.6647398843930635,0.5815423514538559,0.6203641267700607
従業員数（単体）,0.7466666666666667,0.9333333333333333,0.8296296296296296
従業員数（単体）データの年,0.8837209302325582,1.0,0.9382716049382717
従業員数（連結）,0.7647058823529411,0.7647058823529411,0.7647058823529412
従業員数（連結）データの年,0.9375,1.0,0.967741935483871
本拠地,0.703862660944206,0.7454545454545455,0.7240618101545253
本拠地国,0.8559322033898306,0.8782608695652174,0.8669527896995708
業界,0.9010989010989011,0.845360824742268,0.8723404255319148
業界内地位・規模,0.28888888888888886,0.3939393939393939,0.3333333333333333
正式名称,0.7552870090634441,0.7374631268436578,0.7462686567164178
社名使用開始年,0.367816091954023,0.5423728813559322,0.4383561643835616
種類,0.925531914893617,0.90625,0.9157894736842105
設立年,0.7050691244239631,0.788659793814433,0.7445255474452556
読み,0.8909090909090909,0.7,0.7839999999999999
買収・合併した会社,0.5481481481481482,0.34101382488479265,0.42045454545454547
資本金,0.8461538461538461,0.875,0.8603351955307262
資本金データの年,0.868421052631579,0.8918918918918919,0.88
起源,0.4782608695652174,0.4074074074074074,0.44000000000000006
過去の社名,0,0,0
macro_ave,0.6295447040791184,0.6420417619190059,0.6297496765028392
micro_ave,0.6196745562130177,0.5081271227559437,0.5583844308184485
