attribute,precision,recall,F1
人口,0.8258064516129032,0.9078014184397163,0.8648648648648649
人口データの年,0.7961165048543689,0.9879518072289156,0.8817204301075269
人口密度,0.8977272727272727,0.9518072289156626,0.9239766081871345
別名,0.7153846153846154,0.6838235294117647,0.699248120300752
友好市区町村,0.7491961414790996,0.706060606060606,0.7269890795631826
合併市区町村,0,0,0
国,0.6263048016701461,0.7537688442211056,0.6841505131128849
国内位置,0.3333333333333333,0.6666666666666666,0.4444444444444444
地名の謂れ,0,0,0
地形,0.7288676236044657,0.762301918265221,0.7452099470036689
座標・経度,0.8729281767955801,0.88268156424581,0.8777777777777777
座標・緯度,0.9263456090651558,0.8766756032171582,0.9008264462809917
恒例行事,0,0,0
成立年,0.3146067415730337,0.6086956521739131,0.4148148148148148
所在地,0.5528350515463918,0.7032786885245902,0.6190476190476192
旧称,0,0,0
温泉・鉱泉,0.7083333333333334,0.8717948717948718,0.7816091954022988
特産品,0.6788321167883211,0.7898089171974523,0.7301275760549559
産業,0.5014749262536873,0.5089820359281437,0.5052005943536403
種類,0.8088235294117647,0.7236842105263158,0.763888888888889
観光地,0.46293027360988526,0.5831017231795442,0.5161131611316114
読み,0.7962962962962963,0.7889908256880734,0.7926267281105991
鉄道会社,0.5186813186813187,0.8458781362007168,0.6430517711171663
面積,0.6788321167883211,0.9207920792079208,0.7815126050420168
首長,0.5299145299145299,0.7654320987654321,0.6262626262626262
macro_ave,0.5609428305889529,0.6515991370343839,0.5969385524747787
micro_ave,0.6213205113169931,0.6294404182012594,0.6253541076487252
