attribute,precision,recall,F1
コーポレートスローガン,0.3076923076923077,0.38095238095238093,0.3404255319148936
主要株主,0.5357535753575358,0.7078488372093024,0.6098935504070131
事業内容,0.46676737160120846,0.5547576301615799,0.5069729286300245
代表者,0.7647058823529411,0.8253968253968254,0.7938931297709922
別名,0.504950495049505,0.18935643564356436,0.2754275427542754
創業国,0,0,0
創業地,0.5263157894736842,0.4166666666666667,0.46511627906976744
創業時の事業,0.20689655172413793,0.24,0.22222222222222224
創業者,0.5918367346938775,0.725,0.6516853932584269
取扱商品,0,0,0
商品名,0.6018191005558363,0.5338413267593007,0.5657957244655581
売上高データの年,0.8717948717948718,0.8947368421052632,0.8831168831168831
売上高（単体）,0.9302325581395349,0.9523809523809523,0.9411764705882352
売上高（連結）,0.8095238095238095,0.8947368421052632,0.8500000000000001
売上高（連結）データの年,0.7619047619047619,0.8888888888888888,0.8205128205128205
子会社・合弁会社,0.6222547584187409,0.5372945638432364,0.576662143826323
従業員数（単体）,0.7714285714285715,0.9,0.8307692307692307
従業員数（単体）データの年,0.8444444444444444,1.0,0.9156626506024096
従業員数（連結）,0.8125,0.7647058823529411,0.787878787878788
従業員数（連結）データの年,0.9375,1.0,0.967741935483871
本拠地,0.6810344827586207,0.7181818181818181,0.6991150442477876
本拠地国,0.7591240875912408,0.9043478260869565,0.8253968253968254
業界,0.9431818181818182,0.8556701030927835,0.8972972972972973
業界内地位・規模,0.22448979591836735,0.3333333333333333,0.2682926829268293
正式名称,0.6759776536312849,0.7138643067846607,0.6944045911047346
社名使用開始年,0.38414634146341464,0.5338983050847458,0.4468085106382979
種類,0.9139784946236559,0.8854166666666666,0.8994708994708994
設立年,0.6611570247933884,0.8247422680412371,0.7339449541284403
読み,0.9074074074074074,0.7,0.7903225806451613
買収・合併した会社,0.5806451612903226,0.3317972350230415,0.4222873900293255
資本金,0.9047619047619048,0.8636363636363636,0.8837209302325582
資本金データの年,0.8461538461538461,0.8918918918918919,0.868421052631579
起源,0.4444444444444444,0.2962962962962963,0.3555555555555555
過去の社名,0,0,0
macro_ave,0.6116124719757496,0.6252835437819402,0.6114703393993243
micro_ave,0.6063703703703703,0.4964822901504124,0.5459517140189409
