attribute,precision,recall,F1
両親,0,0,0
作品,0.6974661110312784,0.7741918332624416,0.7338289026080382
別名,0.5869565217391305,0.5338983050847458,0.5591715976331362
参加イベント,0.3041825095057034,0.38369304556354916,0.3393425238600212
受賞歴,0.5029126213592233,0.548728813559322,0.5248226950354611
国籍,0.7297297297297297,0.9,0.8059701492537312
地位職業,0.6952277657266811,0.6628748707342296,0.6786659608258336
学歴,0.7853658536585366,0.8298969072164949,0.8070175438596493
家族,0.6032482598607889,0.4444444444444444,0.5118110236220472
居住地,0.5635491606714629,0.6403269754768393,0.5994897959183674
師匠,0,0,0
所属組織,0.6264,0.6476426799007444,0.6368442456283042
時代,0.6190476190476191,0.6842105263157895,0.6500000000000001
本名,0.7244897959183674,0.5071428571428571,0.5966386554621849
死因,0.3333333333333333,0.3125,0.3225806451612903
没地,0.3793103448275862,0.6875,0.4888888888888889
没年月日,0.5846153846153846,0.7037037037037037,0.638655462184874
生年月日,0.8121546961325967,0.7945945945945946,0.8032786885245901
生誕地,0,0,0
異表記,0.6590909090909091,0.6904761904761905,0.6744186046511628
読み,0.8181818181818182,0.7964601769911505,0.8071748878923767
macro_ave,0.5250124968776261,0.5496326630698618,0.5323142986195217
micro_ave,0.6783042394014963,0.7283513224025706,0.7024374739267765
