Person/両親,Person/作品,Person/別名,Person/参加イベント,Person/受賞歴,Person/国籍,Person/地位職業,Person/学歴,Person/家族,Person/居住地,Person/師匠,Person/所属組織,Person/時代,Person/本名,Person/死因,Person/没地,Person/没年月日,Person/生年月日,Person/生誕地,Person/異表記,Person/読み,Company/コーポレートスローガン,Company/主要株主,Company/事業内容,Company/代表者,Company/別名,Company/創業国,Company/創業地,Company/創業時の事業,Company/創業者,Company/取扱商品,Company/商品名,Company/売上高データの年,Company/売上高（単体）,Company/売上高（連結）,Company/売上高（連結）データの年,Company/子会社・合弁会社,Company/従業員数（単体）,Company/従業員数（単体）データの年,Company/従業員数（連結）,Company/従業員数（連結）データの年,Company/本拠地,Company/本拠地国,Company/業界,Company/業界内地位・規模,Company/正式名称,Company/社名使用開始年,Company/種類,Company/設立年,Company/読み,Company/買収・合併した会社,Company/資本金,Company/資本金データの年,Company/起源,Company/過去の社名,City/人口,City/人口データの年,City/人口密度,City/別名,City/友好市区町村,City/合併市区町村,City/国,City/国内位置,City/地名の謂れ,City/地形,City/座標・経度,City/座標・緯度,City/恒例行事,City/成立年,City/所在地,City/旧称,City/温泉・鉱泉,City/特産品,City/産業,City/種類,City/観光地,City/読み,City/鉄道会社,City/面積,City/首長,Airport/別名,Airport/名前の謂れ,Airport/名称由来人物の地位職業名,Airport/国,Airport/年間利用客数,Airport/年間利用者数データの年,Airport/年間発着回数,Airport/年間発着回数データの年,Airport/座標・経度,Airport/座標・緯度,Airport/所在地,Airport/旧称,Airport/標高,Airport/母都市,Airport/滑走路の長さ,Airport/滑走路数,Airport/総面積,Airport/読み,Airport/近隣空港,Airport/運営者,Airport/運用時間,Airport/開港年,Airport/ＩＡＴＡ（空港コード）,Airport/ＩＣＡＯ（空港コード）,Compound/別称,Compound/化学式,Compound/原材料,Compound/商標名,Compound/密度,Compound/沸点,Compound/特性,Compound/生成化合物,Compound/用途,Compound/示性式,Compound/種類,Compound/融点,Compound/製造方法,Compound/読み,Compound/ＣＡＳ番号
467,25616,1398,3045,2156,379,4466,1157,1683,2145,254,7218,135,666,129,165,546,1455,592,578,790,105,1957,4216,892,1067,19,199,237,420,6030,7358,244,266,118,121,2814,435,274,106,98,1584,936,724,239,2235,957,714,1586,452,770,597,156,219,1129,943,924,316,1437,633,1668,2244,72,312,2643,1517,1543,442,835,5323,663,78,717,573,926,2572,840,470,713,364,1672,79,64,1066,204,191,121,121,1736,1792,1415,208,828,134,856,74,40,408,157,484,59,280,543,519,2165,946,302,224,223,299,1758,184,1221,52,691,439,341,159,478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person/両親,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person/作品,25616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person/別名,1398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person/参加イベント,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person/受賞歴,2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person/国籍,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person/地位職業,4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person/学歴,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
