attribute,precision,recall,F1
人口,0.6731707317073171,0.9787234042553191,0.7976878612716762
人口データの年,0.7592592592592593,0.9879518072289156,0.8586387434554973
人口密度,0.8977272727272727,0.9518072289156626,0.9239766081871345
別名,0.7553648068669528,0.6470588235294118,0.6970297029702971
友好市区町村,0.6363636363636364,0.6151515151515151,0.6255778120184899
合併市区町村,0,0,0
国,0.6263048016701461,0.7537688442211056,0.6841505131128849
国内位置,0.6,1.0,0.7499999999999999
地名の謂れ,0,0,0
地形,0.7180892717306187,0.7648040033361134,0.7407108239095315
座標・経度,0.8756613756613757,0.9245810055865922,0.8994565217391305
座標・緯度,0.8891752577319587,0.9249329758713136,0.9067017082785808
恒例行事,0,0,0
成立年,0.3373493975903614,0.6086956521739131,0.43410852713178294
所在地,0.48049052396878483,0.7065573770491803,0.5719973457199735
旧称,0,0,0
温泉・鉱泉,0.7176470588235294,0.782051282051282,0.7484662576687117
特産品,0.6345811051693404,0.7558386411889597,0.689922480620155
産業,0.5105740181268882,0.5059880239520959,0.5082706766917293
種類,0.7956204379562044,0.7171052631578947,0.754325259515571
観光地,0.4797047970479705,0.5780989438576987,0.5243256869170658
読み,0.8936170212765957,0.7706422018348624,0.8275862068965517
鉄道会社,0.4978540772532189,0.8315412186379928,0.6228187919463087
面積,0.6791044776119403,0.900990099009901,0.774468085106383
首長,0,0,0
macro_ave,0.5383063731417348,0.6282515324403891,0.5736087845262983
micro_ave,0.6107524357318934,0.6181537364856837,0.6144307982994803
