attribute,precision,recall,F1
コーポレートスローガン,0.3548387096774194,0.5238095238095238,0.4230769230769231
主要株主,0.5535307517084282,0.7063953488372093,0.6206896551724137
事業内容,0.5040650406504065,0.5565529622980251,0.5290102389078498
代表者,0,0,0
別名,0.38961038961038963,0.1485148514851485,0.2150537634408602
創業国,0,0,0
創業地,0.36363636363636365,0.3333333333333333,0.34782608695652173
創業時の事業,0.17142857142857143,0.24,0.19999999999999998
創業者,0,0,0
取扱商品,0,0,0
商品名,0.6339969372128637,0.5567010309278351,0.5928400954653937
売上高データの年,0.8717948717948718,0.8947368421052632,0.8831168831168831
売上高（単体）,0.975609756097561,0.9523809523809523,0.963855421686747
売上高（連結）,0.8571428571428571,0.9473684210526315,0.9
売上高（連結）データの年,0.7391304347826086,0.9444444444444444,0.8292682926829269
子会社・合弁会社,0.6293706293706294,0.5689001264222503,0.597609561752988
従業員数（単体）,0.7361111111111112,0.8833333333333333,0.803030303030303
従業員数（単体）データの年,0.9,0.9473684210526315,0.9230769230769231
従業員数（連結）,0.8125,0.7647058823529411,0.787878787878788
従業員数（連結）データの年,0.8823529411764706,1.0,0.9375
本拠地,0.6970954356846473,0.7636363636363637,0.7288503253796095
本拠地国,0.9035087719298246,0.8956521739130435,0.8995633187772927
業界,0.9431818181818182,0.8556701030927835,0.8972972972972973
業界内地位・規模,0.2702702702702703,0.30303030303030304,0.2857142857142857
正式名称,0.7067448680351907,0.7109144542772862,0.7088235294117647
社名使用開始年,0.436241610738255,0.5508474576271186,0.48689138576779023
種類,0.9157894736842105,0.90625,0.9109947643979057
設立年,0.7110091743119266,0.7989690721649485,0.7524271844660193
読み,0.8909090909090909,0.7,0.7839999999999999
買収・合併した会社,0.551948051948052,0.391705069124424,0.45822102425876016
資本金,0.8823529411764706,0.8522727272727273,0.8670520231213872
資本金データの年,0.8461538461538461,0.8918918918918919,0.868421052631579
起源,0.2631578947368421,0.18518518518518517,0.21739130434782608
過去の社名,0,0,0
macro_ave,0.5703965474459118,0.5816050080897529,0.5711611891710893
micro_ave,0.6213081799907221,0.4873847646773411,0.546257902250017
