attribute,precision,recall,F1
両親,0,0,0
作品,0.6997440441031699,0.7558485750744364,0.7267150598098354
別名,0.599290780141844,0.4774011299435028,0.5314465408805031
参加イベント,0.2937853107344633,0.37410071942446044,0.3291139240506329
受賞歴,0.5069033530571992,0.5444915254237288,0.5250255362614913
国籍,0.7714285714285715,0.9,0.8307692307692307
地位職業,0.6879049676025918,0.6587383660806618,0.6730058108821976
学歴,0.8102564102564103,0.8144329896907216,0.8123393316195373
家族,0,0,0
居住地,0.566350710900474,0.6512261580381471,0.605830164765526
師匠,0,0,0
所属組織,0.5890613451589062,0.6592224979321754,0.6221701795472286
時代,0.6842105263157895,0.6842105263157895,0.6842105263157895
本名,0.7346938775510204,0.5142857142857142,0.6050420168067226
死因,0.42857142857142855,0.375,0.39999999999999997
没地,0.4230769230769231,0.6875,0.5238095238095238
没年月日,0.6666666666666666,0.7407407407407407,0.7017543859649122
生年月日,0.8255813953488372,0.7675675675675676,0.7955182072829132
生誕地,0,0,0
異表記,0.6511627906976745,0.6666666666666666,0.6588235294117646
読み,0.8627450980392157,0.7787610619469026,0.8186046511627907
macro_ave,0.5143540095071993,0.526199725672915,0.5163894580638381
micro_ave,0.6794948408429943,0.7026448051413035,0.6908759493670886
