attribute,precision,recall,F1
コーポレートスローガン,0.4074074074074074,0.5238095238095238,0.4583333333333333
主要株主,0.5499462943071965,0.7441860465116279,0.6324891908585546
事業内容,0.47703703703703704,0.578096947935368,0.5227272727272728
代表者,0.7898550724637681,0.8650793650793651,0.8257575757575758
別名,0.4056338028169014,0.1782178217821782,0.24763542562338775
創業国,0,0,0
創業地,0.5,0.2916666666666667,0.3684210526315789
創業時の事業,0.2857142857142857,0.24,0.2608695652173913
創業者,0.6444444444444445,0.725,0.6823529411764706
取扱商品,0.390359168241966,0.4796747967479675,0.4304325169359041
商品名,0.6364605543710021,0.5351860152398028,0.581446311176041
売上高データの年,0.8333333333333334,0.9210526315789473,0.875
売上高（単体）,1.0,0.9761904761904762,0.9879518072289156
売上高（連結）,0.8095238095238095,0.8947368421052632,0.8500000000000001
売上高（連結）データの年,0.7391304347826086,0.9444444444444444,0.8292682926829269
子会社・合弁会社,0.6564516129032258,0.5145385587863464,0.5768958185683912
従業員数（単体）,0.8115942028985508,0.9333333333333333,0.8682170542635659
従業員数（単体）データの年,0.8837209302325582,1.0,0.9382716049382717
従業員数（連結）,0.8125,0.7647058823529411,0.787878787878788
従業員数（連結）データの年,0.9375,1.0,0.967741935483871
本拠地,0.7196652719665272,0.7818181818181819,0.7494553376906318
本拠地国,0.8088235294117647,0.9565217391304348,0.8764940239043825
業界,0.9456521739130435,0.8969072164948454,0.9206349206349207
業界内地位・規模,0.2631578947368421,0.30303030303030304,0.28169014084507044
正式名称,0.6982248520710059,0.696165191740413,0.6971935007385525
社名使用開始年,0.44525547445255476,0.5169491525423728,0.4784313725490196
種類,0.92,0.9583333333333334,0.9387755102040817
設立年,0.6932773109243697,0.8505154639175257,0.763888888888889
読み,0.9454545454545454,0.7428571428571429,0.8320000000000001
買収・合併した会社,0.5669291338582677,0.3317972350230415,0.41860465116279066
資本金,0.8695652173913043,0.9090909090909091,0.888888888888889
資本金データの年,0.918918918918919,0.918918918918919,0.918918918918919
起源,0.3076923076923077,0.14814814814814814,0.2
過去の社名,0.5378787878787878,0.4176470588235294,0.4701986754966887
macro_ave,0.6532678767396569,0.6629005690421574,0.6507901563648552
micro_ave,0.593465727098014,0.5618631732168851,0.577232226306935
