attribute,precision,recall,F1
両親,0.5655172413793104,0.7387387387387387,0.640625
作品,0.7405756555550287,0.8303913228413441,0.7829160087224605
別名,0.6510903426791277,0.5903954802259888,0.6192592592592593
参加イベント,0.29441624365482233,0.4172661870503597,0.34523809523809523
受賞歴,0.5367892976588629,0.6800847457627118,0.6000000000000001
国籍,0.75,0.9,0.8181818181818182
地位職業,0.6780893042575286,0.6752843846949328,0.6766839378238343
学歴,0.7702702702702703,0.8814432989690721,0.8221153846153847
家族,0.5324675324675324,0.4905982905982906,0.5106761565836299
居住地,0.5525210084033614,0.7166212534059946,0.6239620403321472
師匠,0.4810126582278481,0.5428571428571428,0.5100671140939598
所属組織,0.6207951070336392,0.6716294458229942,0.645212554628526
時代,0.85,0.8947368421052632,0.8717948717948718
本名,0.6890756302521008,0.5857142857142857,0.6332046332046333
死因,0.23404255319148937,0.6875,0.3492063492063492
没地,0.5384615384615384,0.875,0.6666666666666667
没年月日,0.5555555555555556,0.8333333333333334,0.6666666666666667
生年月日,0.8520408163265306,0.9027027027027027,0.8766404199475065
生誕地,0.626984126984127,0.7523809523809524,0.683982683982684
異表記,0.6170212765957447,0.6904761904761905,0.651685393258427
読み,0.8739495798319328,0.9203539823008849,0.8965517241379309
macro_ave,0.6195559875612547,0.7275004085705326,0.661492227540231
micro_ave,0.7073449241196405,0.7910933509104392,0.7468787678425577
