attribute,precision,recall,F1
人口,0.8203592814371258,0.9716312056737588,0.8896103896103895
人口データの年,0.7941176470588235,0.9759036144578314,0.8756756756756757
人口密度,0.8681318681318682,0.9518072289156626,0.9080459770114944
別名,0.7276422764227642,0.6580882352941176,0.6911196911196912
友好市区町村,0.5863013698630137,0.6484848484848484,0.6158273381294964
合併市区町村,0.3191126279863481,0.32578397212543553,0.32241379310344825
国,0.680628272251309,0.6532663316582915,0.6666666666666667
国内位置,0.5,0.6666666666666666,0.5714285714285715
地名の謂れ,0.07142857142857142,0.11428571428571428,0.0879120879120879
地形,0.7260834014717906,0.7406171809841534,0.7332782824112304
座標・経度,0.8833333333333333,0.888268156424581,0.8857938718662953
座標・緯度,0.9259259259259259,0.871313672922252,0.8977900552486189
恒例行事,0.7088305489260143,0.7754569190600522,0.7406483790523691
成立年,0.31210191082802546,0.532608695652174,0.393574297188755
所在地,0.5399239543726235,0.6983606557377049,0.6090064331665476
旧称,0.09259259259259259,0.06329113924050633,0.07518796992481203
温泉・鉱泉,0.75,0.8461538461538461,0.7951807228915662
特産品,0.6876190476190476,0.7664543524416136,0.7248995983935743
産業,0.49221183800623053,0.47305389221556887,0.4824427480916031
種類,0.8148148148148148,0.7236842105263158,0.7665505226480837
観光地,0.5103587670540677,0.5614230127848805,0.5346744309158284
読み,0.7964601769911505,0.8256880733944955,0.8108108108108109
鉄道会社,0.5751295336787565,0.7956989247311828,0.6676691729323309
面積,0.696969696969697,0.9108910891089109,0.7896995708154506
首長,0.5777777777777777,0.6419753086419753,0.6081871345029239
macro_ave,0.6183142093976669,0.6832342779033014,0.6457637676607328
micro_ave,0.6152834119065892,0.6667458714506356,0.6399817539058045
