attribute,precision,recall,F1
コーポレートスローガン,0.34782608695652173,0.38095238095238093,0.3636363636363636
主要株主,0.5553191489361702,0.7587209302325582,0.6412776412776413
事業内容,0.4984423676012461,0.5745062836624776,0.5337781484570475
代表者,0.8188976377952756,0.8253968253968254,0.8221343873517786
別名,0.47058823529411764,0.21782178217821782,0.29780033840947545
創業国,0.5,0.25,0.3333333333333333
創業地,0.6,0.375,0.4615384615384615
創業時の事業,0.11764705882352941,0.08,0.09523809523809526
創業者,0.7142857142857143,0.75,0.7317073170731706
取扱商品,0.3917228103946102,0.4727061556329849,0.4284210526315789
商品名,0.6361746361746362,0.5486329000448229,0.5891696750902526
売上高データの年,0.8536585365853658,0.9210526315789473,0.8860759493670887
売上高（単体）,0.9767441860465116,1.0,0.988235294117647
売上高（連結）,0.85,0.8947368421052632,0.8717948717948718
売上高（連結）データの年,0.7727272727272727,0.9444444444444444,0.85
子会社・合弁会社,0.6384839650145773,0.5537294563843237,0.5930941096817876
従業員数（単体）,0.8,0.9333333333333333,0.8615384615384616
従業員数（単体）データの年,0.8837209302325582,1.0,0.9382716049382717
従業員数（連結）,0.8125,0.7647058823529411,0.787878787878788
従業員数（連結）データの年,0.8823529411764706,1.0,0.9375
本拠地,0.7319148936170212,0.7818181818181819,0.7560439560439559
本拠地国,0.8257575757575758,0.9478260869565217,0.882591093117409
業界,0.925531914893617,0.8969072164948454,0.9109947643979057
業界内地位・規模,0.2558139534883721,0.3333333333333333,0.2894736842105263
正式名称,0.6942857142857143,0.7168141592920354,0.7053701015965166
社名使用開始年,0.4146341463414634,0.576271186440678,0.4822695035460993
種類,0.9361702127659575,0.9166666666666666,0.9263157894736843
設立年,0.680672268907563,0.8350515463917526,0.7500000000000001
読み,0.8947368421052632,0.7285714285714285,0.8031496062992126
買収・合併した会社,0.5673758865248227,0.3686635944700461,0.446927374301676
資本金,0.8709677419354839,0.9204545454545454,0.8950276243093922
資本金データの年,0.918918918918919,0.918918918918919,0.918918918918919
起源,0.47058823529411764,0.2962962962962963,0.3636363636363636
過去の社名,0.4968152866242038,0.4588235294117647,0.4770642201834862
macro_ave,0.6707433858677847,0.6747693099651922,0.665300202746743
micro_ave,0.5966059082338152,0.5756914119359534,0.5859620964257053
