attribute,precision,recall,F1
両親,0.7,0.6936936936936937,0.6968325791855203
作品,0.7598631239935588,0.8028498511271799,0.78076525336091
別名,0.7153284671532847,0.5536723163841808,0.6242038216560509
参加イベント,0.34243697478991597,0.3908872901678657,0.3650615901455767
受賞歴,0.5671296296296297,0.5190677966101694,0.5420353982300885
国籍,0.8709677419354839,0.9,0.8852459016393444
地位職業,0.7736093143596378,0.6184074457083765,0.6873563218390805
学歴,0.78125,0.9020618556701031,0.8373205741626795
家族,0.6047516198704104,0.47863247863247865,0.5343511450381679
居住地,0.6189189189189189,0.6239782016348774,0.621438263229308
師匠,0.5,0.4857142857142857,0.49275362318840576
所属組織,0.6769911504424779,0.6327543424317618,0.6541256947413425
時代,0.8947368421052632,0.8947368421052632,0.8947368421052632
本名,0.7575757575757576,0.5357142857142857,0.6276150627615062
死因,0.34782608695652173,0.5,0.41025641025641024
没地,0.6,0.75,0.6666666666666665
没年月日,0.6818181818181818,0.8333333333333334,0.7499999999999999
生年月日,0.8020304568527918,0.8540540540540541,0.8272251308900522
生誕地,0.6635514018691588,0.6761904761904762,0.6698113207547169
異表記,0.8333333333333334,0.47619047619047616,0.6060606060606061
読み,0.8803418803418803,0.911504424778761,0.8956521739130435
macro_ave,0.6844028991402956,0.6682592119115058,0.6699768752297496
micro_ave,0.7390239003816027,0.7579302957897339,0.748357705058065
