attribute,precision,recall,F1
両親,0.7090909090909091,0.7027027027027027,0.7058823529411765
作品,0.7299350739052355,0.8428328370905998,0.7823318938926589
別名,0.6968641114982579,0.5649717514124294,0.62402496099844
参加イベント,0.31907308377896615,0.4292565947242206,0.36605316973415136
受賞歴,0.5577981651376147,0.6440677966101694,0.5978367748279252
国籍,0.8484848484848485,0.9333333333333333,0.888888888888889
地位職業,0.6910401647785788,0.6938986556359876,0.6924664602683178
学歴,0.7952380952380952,0.8608247422680413,0.8267326732673268
家族,0.5598526703499079,0.5196581196581197,0.5390070921985816
居住地,0.5907990314769975,0.6648501362397821,0.6256410256410256
師匠,0.5492957746478874,0.5571428571428572,0.5531914893617021
所属組織,0.6370597243491577,0.6881720430107527,0.6616302186878729
時代,0.7727272727272727,0.8947368421052632,0.8292682926829269
本名,0.7477477477477478,0.5928571428571429,0.6613545816733069
死因,0.16326530612244897,0.5,0.24615384615384614
没地,0.34375,0.6875,0.4583333333333333
没年月日,0.647887323943662,0.8518518518518519,0.7360000000000001
生年月日,0.845360824742268,0.8864864864864865,0.8654353562005278
生誕地,0.6228070175438597,0.6761904761904762,0.6484018264840182
異表記,0.58,0.6904761904761905,0.6304347826086957
読み,0.8717948717948718,0.9026548672566371,0.8869565217391303
macro_ave,0.6323748579694566,0.7040221631930019,0.6583821686468502
micro_ave,0.7058161078214117,0.8004037241492955,0.7501399586880562
